Date	weight
24/01/2018	92,4
25/01/2018	94,2
29/01/2018	94,6
30/01/2018	93
31/01/2018	93,6
01/02/2018	94,4
05/02/2018	94,2
06/02/2018	93,4
07/02/2018	92,4
08/02/2018	92,8
09/02/2018	92,4
10/02/2018	93,2
11/02/2018	92,8
12/02/2018	93
16/02/2018	93,6
19/02/2018	93,8
20/02/2018	92
21/02/2018	93
23/02/2018	92
26/02/2018	93,8
27/02/2018	92,6
28/02/2018	92,8
01/03/2018	93,2
02/03/2018	93,8
03/03/2018	94,2
05/03/2018	94,6
06/03/2018	93,8
07/03/2018	93,4
08/03/2018	93,6
09/03/2018	91,4
12/03/2018	94,2
13/03/2018	94
19/03/2018	94,4
21/03/2018	93,8
22/03/2018	94,6
23/03/2018	94,4
16/04/2018	94,4
17/04/2018	93,8
18/04/2018	93,4
19/04/2018	92,4
20/04/2018	93,6
21/04/2018	93
22/04/2018	94,6
23/04/2018	94,4
24/04/2018	93,4
25/04/2018	92,6
26/04/2018	92,8
27/04/2018	94
03/05/2018	93,6
04/05/2018	94,2
05/05/2018	94,2
08/05/2018	94,4
10/05/2018	93,2
11/05/2018	92,8
14/05/2018	93,8
16/05/2018	92,8
28/05/2018	94,8
31/05/2018	92,2
01/06/2018	92,6
11/06/2018	93,6
12/06/2018	93,2
13/06/2018	93,4
14/06/2018	94,4
15/06/2018	94,2
16/06/2018	94,8
17/06/2018	94,4
18/06/2018	93,8
19/06/2018	94,2
20/06/2018	93,6
21/06/2018	94,2
22/06/2018	93,2
23/06/2018	94,2
24/06/2018	95
25/06/2018	94,2
26/06/2018	93
27/06/2018	92,8
28/06/2018	93,2
29/06/2018	94,4
30/06/2018	93,8
01/07/2018	93,6
02/07/2018	93,8
03/07/2018	92,6
04/07/2018	92,4
05/07/2018	93,4
06/07/2018	93
07/07/2018	93,6
09/07/2018	93,6
10/07/2018	93,4
11/07/2018	92
12/07/2018	93,4
13/07/2018	93
14/07/2018	93
15/07/2018	92,4
16/07/2018	92,8
17/07/2018	91,6
18/07/2018	92,6
19/07/2018	92,8
20/07/2018	92,8
23/07/2018	94
24/07/2018	92,4
25/07/2018	92,4
26/07/2018	92,8
27/07/2018	93,8
29/07/2018	94,4
30/07/2018	94,4
31/07/2018	93,6
01/08/2018	93,6
02/08/2018	93,2
03/08/2018	93,4
04/08/2018	93,4
05/08/2018	92,8
06/08/2018	93,8
07/08/2018	93,8
19/08/2018	94,4
20/08/2018	93,8
21/08/2018	93,4
22/08/2018	94,4
23/08/2018	93,4
24/08/2018	93,4
25/08/2018	93,2
26/08/2018	94,4
27/08/2018	94,2
28/08/2018	94
29/08/2018	93,6
30/08/2018	
31/08/2018	
01/09/2018	
02/09/2018	
03/09/2018	95,2
04/09/2018	93,8
05/09/2018	93,8
06/09/2018	92,8
16/09/2018	94
17/09/2018	92
18/09/2018	93,6
19/09/2018	92,4
20/09/2018	93
21/09/2018	92,6
22/09/2018	93,6
23/09/2018	93,2
24/09/2018	92,6
25/09/2018	93,6
26/09/2018	92
27/09/2018	92
28/09/2018	93,4
29/09/2018	94,2
30/09/2018	94,4
01/10/2018	94
02/10/2018	92,4
03/10/2018	93
04/10/2018	93,8
05/10/2018	92,8
08/10/2018	93
09/10/2018	90,6
10/10/2018	91,8
11/10/2018	92,6
12/10/2018	93,2
13/10/2018	93,8
11/03/2019	94,4
18/03/2019	93,8
19/03/2019	93,4
20/03/2019	93,4
21/03/2019	94
22/03/2019	93,8
23/03/2019	94,8
25/03/2019	92,6
26/03/2019	91,8
27/03/2019	92,6
28/03/2019	92
29/03/2019	92,2
01/04/2019	92,6
02/04/2019	91,2
03/04/2019	91,8
04/04/2019	91,6
05/04/2019	90,8
06/04/2019	90,6
07/04/2019	90,8
12/04/2019	93,2
13/04/2019	91,4
14/04/2019	
16/04/2019	
19/04/2019	92,6
20/04/2019	93,6
21/04/2019	93,6
22/04/2019	93,2
23/04/2019	91,2
24/04/2019	91,4
25/04/2019	91,4
26/04/2019	91
27/04/2019	91
07/05/2019	93,2
08/05/2019	92,2
09/05/2019	92
10/05/2019	91,8
13/05/2019	90,6
14/05/2019	91,4
15/05/2019	90,2
16/05/2019	89,4
17/05/2019	89,6
18/05/2019	89,6
19/05/2019	89,8
20/05/2019	91,6
21/05/2019	90,2
22/05/2019	90
23/05/2019	90,2
25/05/2019	90
26/05/2019	90
27/05/2019	89,8
28/05/2019	89
29/05/2019	90
30/05/2019	89,8
31/05/2019	89
01/06/2019	90,4
02/06/2019	91,4
03/06/2019	91
04/06/2019	89,2
05/06/2019	88,8
06/06/2019	90
07/06/2019	89,8
08/06/2019	90
09/06/2019	89,8
10/06/2019	90
11/06/2019	88,6
12/06/2019	89,2
13/06/2019	88,2
14/06/2019	88
15/06/2019	89,2
16/06/2019	89
17/06/2019	89,6
18/06/2019	88,2
19/06/2019	88,4
20/06/2019	88,8
21/06/2019	88,2
23/06/2019	89,6
24/06/2019	89,8
25/06/2019	90,2
26/06/2019	90,2
27/06/2019	89
28/06/2019	87,6
29/06/2019	88,8
30/06/2019	89,6
01/07/2019	89,2
02/07/2019	89
04/07/2019	89,6
05/07/2019	87,8
07/07/2019	88,4
08/07/2019	90,4
09/07/2019	89
10/07/2019	88,2
11/07/2019	89,6
12/07/2019	90,2
15/07/2019	89,6
16/07/2019	88,6
17/07/2019	88,4
18/07/2019	89,4
19/07/2019	88,8
20/07/2019	88,6
21/07/2019	90
22/07/2019	89
23/07/2019	88,8
24/07/2019	88,4
25/07/2019	88,8
26/07/2019	88,2
27/07/2019	88,8
28/07/2019	89
29/07/2019	88,2
30/07/2019	87
31/07/2019	88
01/08/2019	89,2
02/08/2019	88,6
04/08/2019	89,6
05/08/2019	89,4
25/08/2019	89,2
26/08/2019	89,8
27/08/2019	90
28/08/2019	89,6
29/08/2019	89,8
30/08/2019	89,8
31/08/2019	90,6
03/09/2019	90,2
04/09/2019	89,8
05/09/2019	89,4
06/09/2019	89,4
07/09/2019	89,8
08/09/2019	90,2
09/09/2019	90
10/09/2019	89,6
11/09/2019	89,6
